# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-23 d,Confirmed,0.055,0.037,0.043,,,,0.196,0.008,0.008,15.274299,0.000104,0.000104,0.124,,,0.08,0.08,0.24,,,,,2014,2021-02-05,,,,,,,2454980.58253,0.00387,0.00387,2454980.5655,,,,,,,,,0.25,0.21,0.21,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19365254+4928452 d, K00168.02, KIC 11512246 d, KOI-168 d, KOI-168.02, WISE J193652.53+492845.3  d",,Kepler-23,294.218924,49.479225,14.0,,12.353,12.047,,856.34,11.79,11.79,,,,1.11,,,1.55,0.05,0.05,,,,,5828.0,100.0,100.0,,,"2MASS J19365254+4928452, GSC 03564-01806, KIC 11512246, KOI-168, WISE J193652.53+492845.3"
Kepler-230 b,Confirmed,,,,,,,0.38,0.194,0.194,32.625555,0.000126,0.000126,0.191,,,,,,,,,,2014,2021-02-05,,,,,,,2455027.13742,0.00198,0.00198,,,,,,,,,,0.91,0.01,0.01,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19025244+4830210 b, K00759.01, KIC 11018648 b, KOI-759 b, KOI-759.01, WISE J190252.45+483020.9  b",,Kepler-230,285.718538,48.505859,,,13.824,13.37,13.299,756.73,14.1,14.1,-0.291,,,,,,0.82,0.41,0.41,,,,,5588.0,200.0,200.0,,,"2MASS J19025244+4830210, KIC 11018648, KOI-759, WISE J190252.45+483020.9"
Kepler-230 c,Confirmed,,,,,,,0.182,0.093,0.093,91.773242,0.001618,0.001618,0.38,,,,,,,,,,2014,2021-02-05,,,,,,,2455026.83073,0.00941,0.00941,,,,,,,,,,0.03,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19025244+4830210 c, K00759.02, KIC 11018648 c, KOI-759 c, KOI-759.02, WISE J190252.45+483020.9  c",,Kepler-230,285.718538,48.505859,,,13.824,13.37,13.299,756.73,14.1,14.1,-0.291,,,,,,0.82,0.41,0.41,,,,,5588.0,200.0,200.0,,,"2MASS J19025244+4830210, KIC 11018648, KOI-759, WISE J190252.45+483020.9"
Kepler-231 b,Confirmed,,,,,,,0.154,0.011,0.011,10.065275,2.7e-05,2.7e-05,0.074,,,,,,,,,,2014,2021-02-05,,,,,,,2454969.28185,0.00148,0.00148,,,,,,,,,,0.82,0.05,0.05,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19355360+5031548 b, K00784.02, KIC 12066335 b, KOI-784 b, KOI-784.02, WISE J193553.61+503154.7  b",,Kepler-231,293.973353,50.531914,,,13.405,12.775,12.589,319.49,3.35,3.35,-0.011,,,0.58,,,0.49,0.02,0.02,M1 V,,,,3767.0,150.0,150.0,,,"2MASS J19355360+5031548, KIC 12066335, KOI-784, WISE J193553.61+503154.7"
Kepler-231 c,Confirmed,,,,,,,0.172,0.017,0.017,19.271566,9.9e-05,9.9e-05,0.114,,,,,,,,,,2014,2021-02-05,,,,,,,2455019.76907,0.00327,0.00327,,,,,,,,,,0.87,0.3,0.3,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19355360+5031548 c, K00784.01, KIC 12066335 c, KOI-784 c, KOI-784.01, WISE J193553.61+503154.7  c",,Kepler-231,293.973353,50.531914,,,13.405,12.775,12.589,319.49,3.35,3.35,-0.011,,,0.58,,,0.49,0.02,0.02,M1 V,,,,3767.0,150.0,150.0,,,"2MASS J19355360+5031548, KIC 12066335, KOI-784, WISE J193553.61+503154.7"
Kepler-232 b,Confirmed,,,,,,,0.275,0.131,0.131,4.431222,1.1e-05,1.1e-05,0.054,,,,,,,,,,2014,2021-02-05,,,,,,,2455004.01551,0.00139,0.00139,,,,,,,,,,0.35,0.22,0.22,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19431587+5107182 b, K00787.01, KIC 12366084 b, KOI-787 b, KOI-787.01, WISE J194315.87+510718.2 b",,Kepler-232,295.816158,51.121742,,,14.179,13.799,13.765,1402.96,50.18,50.18,0.083,,,,,,0.97,0.46,0.46,,,,,5847.0,200.0,200.0,,,"2MASS J19431587+5107182, KIC 12366084, KOI-787, WISE J194315.87+510718.2"
Kepler-232 c,Confirmed,,,,,,,0.342,0.166,0.166,11.379349,4.4e-05,4.4e-05,0.101,,,,,,,,,,2014,2021-02-05,,,,,,,2454966.85018,0.00219,0.00219,,,,,,,,,,0.92,0.27,0.27,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19431587+5107182 c, K00787.02, KIC 12366084 c, KOI-787 c, KOI-787.02, WISE J194315.87+510718.2 c",,Kepler-232,295.816158,51.121742,,,14.179,13.799,13.765,1402.96,50.18,50.18,0.083,,,,,,0.97,0.46,0.46,,,,,5847.0,200.0,200.0,,,"2MASS J19431587+5107182, KIC 12366084, KOI-787, WISE J194315.87+510718.2"
Kepler-233 b,Confirmed,,,,,,,0.217,0.059,0.059,8.472382,2.6e-05,2.6e-05,0.077,,,,,,,,,,2014,2021-02-05,,,,,,,2455007.16212,0.0016,0.0016,,,,,,,,,,0.08,0.21,0.21,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19452796+5119102 b, K00790.01, KIC 12470844 b, KOI-790 b, KOI-790.01, WISE J194527.95+511910.0  b",,Kepler-233,296.366522,51.319523,,,14.006,13.555,13.453,877.73,19.71,19.71,-0.067,,,,,,0.76,0.21,0.21,,,,,5360.0,200.0,200.0,,,"2MASS J19452796+5119102, KIC 12470844, KOI-790, WISE J194527.95+511910.0"
Kepler-233 c,Confirmed,,,,,,,0.242,0.07,0.07,60.418955,0.00063,0.00063,0.287,,,,,,,,,,2014,2021-02-05,,,,,,,2455014.16152,0.00573,0.00573,,,,,,,,,,0.86,0.32,0.32,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19452796+5119102 c, K00790.02, KIC 12470844 c, KOI-790 c, KOI-790.02, WISE J194527.95+511910.0  c",,Kepler-233,296.366522,51.319523,,,14.006,13.555,13.453,877.73,19.71,19.71,-0.067,,,,,,0.76,0.21,0.21,,,,,5360.0,200.0,200.0,,,"2MASS J19452796+5119102, KIC 12470844, KOI-790, WISE J194527.95+511910.0"
Kepler-234 b,Confirmed,,,,,,,0.33,0.148,0.148,2.711506,6e-06,6e-06,0.04,,,,,,,,,,2014,2021-02-05,,,,,,,2455003.03513,0.0013,0.0013,,,,,,,,,,0.85,0.29,0.29,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19263684+3829407 b, K00800.01, KIC 3342970 b, KOI-800 b, KOI-800.01, WISE J192636.84+382940.7  b",,Kepler-234,291.653519,38.494659,,,14.387,14.104,14.065,1821.01,96.9,96.9,0.075,,,,,,1.11,0.49,0.49,,,,,6224.0,200.0,200.0,,,"2MASS J19263684+3829407, KIC 3342970, KOI-800, WISE J192636.84+382940.7"
Kepler-234 c,Confirmed,,,,,,,0.313,0.139,0.139,7.21205,2.2e-05,2.2e-05,0.077,,,,,,,,,,2014,2021-02-05,,,,,,,2455005.81664,0.00178,0.00178,,,,,,,,,,0.16,0.2,0.2,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19263684+3829407 c, K00800.02, KIC 3342970 c, KOI-800 c, KOI-800.02, WISE J192636.84+382940.7  c",,Kepler-234,291.653519,38.494659,,,14.387,14.104,14.065,1821.01,96.9,96.9,0.075,,,,,,1.11,0.49,0.49,,,,,6224.0,200.0,200.0,,,"2MASS J19263684+3829407, KIC 3342970, KOI-800, WISE J192636.84+382940.7"
Kepler-235 b,Confirmed,,,,,,,0.199,0.009,0.009,3.340222,5e-06,5e-06,0.037,,,,,,,,,,2014,2021-02-05,,,,,,,2455004.97787,0.00084,0.00084,,,,,,,,,,0.37,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19041898+3916419 b, K00812.01, KIC 4139816 b, KOI-812 b, KOI-812.01, WISE J190418.97+391641.8  b",,Kepler-235,286.079103,39.278313,,,13.952,13.278,13.116,433.24,6.7,6.7,0.087,,,0.59,,,0.55,0.02,0.02,M0 V,,,,4255.0,100.0,100.0,,,"2MASS J19041898+3916419, KIC 4139816, KOI-812, WISE J190418.97+391641.8"
Kepler-235 c,Confirmed,,,,,,,0.114,0.007,0.007,7.824904,5.5e-05,5.5e-05,0.065,,,,,,,,,,2014,2021-02-05,,,,,,,2454969.55567,0.00455,0.00455,,,,,,,,,,0.24,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19041898+3916419 c, K00812.04, KIC 4139816 c, KOI-812 c, KOI-812.04, WISE J190418.97+391641.8  c",,Kepler-235,286.079103,39.278313,,,13.952,13.278,13.116,433.24,6.7,6.7,0.087,,,0.59,,,0.55,0.02,0.02,M0 V,,,,4255.0,100.0,100.0,,,"2MASS J19041898+3916419, KIC 4139816, KOI-812, WISE J190418.97+391641.8"
Kepler-235 d,Confirmed,,,,,,,0.183,0.009,0.009,20.060548,9.9e-05,9.9e-05,0.122,,,,,,,,,,2014,2021-02-05,,,,,,,2454980.46149,0.00276,0.00276,,,,,,,,,,0.11,0.2,0.2,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19041898+3916419 d, K00812.02, KIC 4139816 d, KOI-812 d, KOI-812.02, WISE J190418.97+391641.8  d",,Kepler-235,286.079103,39.278313,,,13.952,13.278,13.116,433.24,6.7,6.7,0.087,,,0.59,,,0.55,0.02,0.02,M0 V,,,,4255.0,100.0,100.0,,,"2MASS J19041898+3916419, KIC 4139816, KOI-812, WISE J190418.97+391641.8"
Kepler-235 e,Confirmed,,,,,,,0.198,0.026,0.026,46.183669,0.000425,0.000425,0.213,,,,,,,,,,2014,2021-02-05,,,,,,,2454998.23932,0.00501,0.00501,,,,,,,,,,0.68,0.34,0.34,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19041898+3916419 e, K00812.03, KIC 4139816 e, KOI-812 e, KOI-812.03, WISE J190418.97+391641.8  e",,Kepler-235,286.079103,39.278313,,,13.952,13.278,13.116,433.24,6.7,6.7,0.087,,,0.59,,,0.55,0.02,0.02,M0 V,,,,4255.0,100.0,100.0,,,"2MASS J19041898+3916419, KIC 4139816, KOI-812, WISE J190418.97+391641.8"
Kepler-236 b,Confirmed,,,,,,,0.14,0.011,0.011,8.295611,3.2e-05,3.2e-05,0.065,,,,,,,,,,2014,2021-02-05,,,,,,,2454968.79207,0.0023,0.0023,,,,,,,,,,0.67,0.13,0.13,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18552792+3953530 b, K00817.02, KIC 4725681 b, KOI-817 b, KOI-817.02, WISE J185527.93+395353.4  b",,Kepler-236,283.866378,39.898092,,,13.224,12.537,12.312,291.17,2.29,2.29,0.119,,,0.56,,,0.51,0.02,0.02,M1 V,,,,3750.0,150.0,150.0,,,"2MASS J18552792+3953530, KIC 4725681, KOI-817, WISE J185527.93+395353.4"
Kepler-236 c,Confirmed,,,,,,,0.178,0.015,0.015,23.968127,0.000174,0.000174,0.132,,,,,,,,,,2014,2021-02-05,,,,,,,2455019.2169,0.00362,0.00362,,,,,,,,,,0.84,0.31,0.31,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18552792+3953530 c, K00817.01, KIC 4725681 c, KOI-817 c, KOI-817.01, WISE J185527.93+395353.4  c",,Kepler-236,283.866378,39.898092,,,13.224,12.537,12.312,291.17,2.29,2.29,0.119,,,0.56,,,0.51,0.02,0.02,M1 V,,,,3750.0,150.0,150.0,,,"2MASS J18552792+3953530, KIC 4725681, KOI-817, WISE J185527.93+395353.4"
Kepler-237 b,Confirmed,,,,,,,0.126,0.067,0.067,4.715106,3e-05,3e-05,0.05,,,,,,,,,,2014,2021-02-05,,,,,,,2454967.95992,0.00396,0.00396,,,,,,,,,,0.19,0.24,0.24,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18525313+4025185 b, K00825.02, KIC 5252423 b, KOI-825 b, KOI-825.02, WISE J185253.12+402518.4  b",,Kepler-237,283.221387,40.421834,,,13.749,13.223,13.172,670.41,10.59,10.59,-0.077,,,0.7,,,0.72,0.38,0.38,,,,,4861.0,200.0,200.0,,,"2MASS J18525313+4025185, KIC 5252423, KOI-825, WISE J185253.12+402518.4"
Kepler-237 c,Confirmed,,,,,,,0.186,0.098,0.098,8.103636,3.2e-05,3.2e-05,0.071,,,,,,,,,,2014,2021-02-05,,,,,,,2455009.94805,0.00237,0.00237,,,,,,,,,,0.14,0.21,0.21,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18525313+4025185 c, K00825.01, KIC 5252423 c, KOI-825 c, KOI-825.01, WISE J185253.12+402518.4  c",,Kepler-237,283.221387,40.421834,,,13.749,13.223,13.172,670.41,10.59,10.59,-0.077,,,0.7,,,0.72,0.38,0.38,,,,,4861.0,200.0,200.0,,,"2MASS J18525313+4025185, KIC 5252423, KOI-825, WISE J185253.12+402518.4"
Kepler-238 b,Confirmed,,,,,,,0.154,0.036,0.036,2.090876,2e-05,2e-05,0.034,,,,,,,,,,2014,2021-02-05,,,,,,,2454967.1647,0.00553,0.00553,,,,,,,,,,0.78,0.29,0.29,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19113530+4038161 b, K00834.04, KIC 5436502 b, KOI-834 b, KOI-834.04, WISE J191135.30+403816.1  b",,Kepler-238,287.897113,40.637815,,,13.894,13.545,,1897.73,79.95,79.95,0.143,,,1.43,5.82,1.31,1.43,0.26,0.26,,,,,5751.0,100.0,100.0,,,"2MASS J19113530+4038161, KIC 5436502, KOI-834, WISE J191135.30+403816.1"
Kepler-238 c,Confirmed,,,,,,,0.213,0.04,0.04,6.155557,5e-05,5e-05,0.069,,,,,,,,,,2014,2021-02-05,,,,,,,2454967.82322,0.00446,0.00446,,,,,,,,,,0.06,0.22,0.22,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19113530+4038161 c, K00834.03, KIC 5436502 c, KOI-834 c, KOI-834.03, WISE J191135.30+403816.1  c",,Kepler-238,287.897113,40.637815,,,13.894,13.545,,1897.73,79.95,79.95,0.143,,,1.43,5.82,1.31,1.43,0.26,0.26,,,,,5751.0,100.0,100.0,,,"2MASS J19113530+4038161, KIC 5436502, KOI-834, WISE J191135.30+403816.1"
Kepler-238 d,Confirmed,,,,,,,0.274,0.051,0.051,13.233549,8.1e-05,8.1e-05,0.115,,,,,,,,,,2014,2021-02-05,,,,,,,2454973.32179,0.00365,0.00365,,,,,,,,,,0.43,0.22,0.22,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19113530+4038161 d, K00834.02, KIC 5436502 d, KOI-834 d, KOI-834.02, WISE J191135.30+403816.1  d",,Kepler-238,287.897113,40.637815,,,13.894,13.545,,1897.73,79.95,79.95,0.143,,,1.43,5.82,1.31,1.43,0.26,0.26,,,,,5751.0,100.0,100.0,,,"2MASS J19113530+4038161, KIC 5436502, KOI-834, WISE J191135.30+403816.1"
Kepler-238 e,Confirmed,0.534,0.217,0.226,,,,0.5,0.041,0.211,23.654,,,,,,,,,,,,,2013,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19113530+4038161 e, K00834.01, KIC 5436502 e, KOI-834 e, KOI-834.01, WISE J191135.30+403816.1  e",,Kepler-238,287.897113,40.637815,,,13.894,13.545,,1897.73,79.95,79.95,0.143,,,1.43,5.82,1.31,1.43,0.26,0.26,,,,,5751.0,100.0,100.0,,,"2MASS J19113530+4038161, KIC 5436502, KOI-834, WISE J191135.30+403816.1"
Kepler-238 f,Confirmed,0.042,0.008,0.009,,,,0.178,0.015,0.076,50.447,,,,,,,,,,,,,2013,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19113530+4038161 f, K00834.05, KIC 5436502 f, KOI-834 f, KOI-834.05, WISE J191135.30+403816.1  f",,Kepler-238,287.897113,40.637815,,,13.894,13.545,,1897.73,79.95,79.95,0.143,,,1.43,5.82,1.31,1.43,0.26,0.26,,,,,5751.0,100.0,100.0,,,"2MASS J19113530+4038161, KIC 5436502, KOI-834, WISE J191135.30+403816.1"
Kepler-239 b,Confirmed,,,,,,,0.208,0.013,0.013,11.763051,3.4e-05,3.4e-05,0.095,,,,,,,,,,2014,2021-02-05,,,,,,,2455013.93614,0.00143,0.00143,,,,,,,,,,0.17,0.22,0.22,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19364851+4039482 b, K00835.01, KIC 5456651 b, KOI-835 b, KOI-835.01, WISE J193648.48+403948.1 b",,Kepler-239,294.202137,40.663406,,,13.703,13.215,13.133,660.07,13.72,13.72,-0.016,,,0.74,,,0.76,0.04,0.04,,,,,4914.0,100.0,100.0,,,"2MASS J19364851+4039482, KIC 5456651, KOI-835, WISE J193648.48+403948.1"
Kepler-239 c,Confirmed,,,,,,,0.224,0.037,0.037,56.228098,0.00058,0.00058,0.268,,,,,,,,,,2014,2021-02-05,,,,,,,2454965.28814,0.00575,0.00575,,,,,,,,,,0.86,0.32,0.32,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19364851+4039482 c, K00835.02, KIC 5456651 c, KOI-835 c, KOI-835.02, WISE J193648.48+403948.1 c",,Kepler-239,294.202137,40.663406,,,13.703,13.215,13.133,660.07,13.72,13.72,-0.016,,,0.74,,,0.76,0.04,0.04,,,,,4914.0,100.0,100.0,,,"2MASS J19364851+4039482, KIC 5456651, KOI-835, WISE J193648.48+403948.1"
Kepler-24 b,Confirmed,1.6,inf,nan,,,,0.214,,,8.1453,,,0.08,,,,,,,,,,2011,2021-02-05,,,,,,,2454973.5689,,,2454973.5689,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19213918+3820375 b, K01102.02, KIC 3231341 b, KOI-1102 b, KOI-1102.02, WISE J192139.17+382037.3  b",,Kepler-24,290.413267,38.343754,15.5,,13.763,13.445,,1195.99,34.01,34.01,,,,1.03,0.14,0.14,1.29,0.29,0.29,,,,,5897.0,219.0,219.0,,,"2MASS J19213918+3820375, KIC 3231341, KOI-1102, WISE J192139.17+382037.3"
Kepler-24 c,Confirmed,1.6,inf,nan,,,,0.25,,,12.3335,,,0.106,,,,,,,,,,2011,2021-02-05,,,,,,,2454970.586,,,2454970.586,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19213918+3820375 c, K01102.01, KIC 3231341 c, KOI-1102 c, KOI-1102.01, WISE J192139.17+382037.3  c",,Kepler-24,290.413267,38.343754,15.5,,13.763,13.445,,1195.99,34.01,34.01,,,,1.03,0.14,0.14,1.29,0.29,0.29,,,,,5897.0,219.0,219.0,,,"2MASS J19213918+3820375, KIC 3231341, KOI-1102, WISE J192139.17+382037.3"
Kepler-24 d,Confirmed,,,,,,,0.149,0.035,0.035,4.244384,5.3e-05,5.3e-05,0.051,,,,,,,,,,2014,2021-02-05,,,,,,,2454970.06411,0.0068,0.0068,2454970.0712,,,,,,,,,0.29,0.23,0.23,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"KOI-1102 d, KIC 3231341 d, 2MASS J19213918+3820375 d, K01102.04, KOI-1102.04, WISE J192139.17+382037.3  d",,Kepler-24,290.413267,38.343754,15.5,,13.763,13.445,,1195.99,34.01,34.01,,,,1.03,0.14,0.14,1.29,0.29,0.29,,,,,5897.0,219.0,219.0,,,"2MASS J19213918+3820375, KIC 3231341, KOI-1102, WISE J192139.17+382037.3"
Kepler-24 e,Confirmed,,,,,,,0.248,0.057,0.057,18.998355,0.000157,0.000157,0.138,,,,,,,,,,2014,2021-02-05,,,,,,,2454977.74357,0.00555,0.00555,2454977.7512,,,,,,,,,0.1,0.22,0.22,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"KIC 3231341 e, KOI-1102 e, 2MASS J19213918+3820375 e, K01102.03, KOI-1102.03, WISE J192139.17+382037.3  e",,Kepler-24,290.413267,38.343754,15.5,,13.763,13.445,,1195.99,34.01,34.01,,,,1.03,0.14,0.14,1.29,0.29,0.29,,,,,5897.0,219.0,219.0,,,"2MASS J19213918+3820375, KIC 3231341, KOI-1102, WISE J192139.17+382037.3"
Kepler-240 b,Confirmed,,,,,,,0.122,0.05,0.05,4.144495,2.6e-05,2.6e-05,0.048,,,,,,,,,,2014,2021-02-05,,,,,,,2454968.92658,0.00337,0.00337,,,,,,,,,,0.24,0.22,0.22,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19243810+4045009 b, K00837.02, KIC 5531576 b, KOI-837 b, KOI-837.02, WISE J192438.10+404500.8  b",,Kepler-240,291.158774,40.750263,,,14.113,13.606,13.464,762.74,20.31,20.31,0.089,,,,,,0.74,0.3,0.3,,,,,4985.0,200.0,200.0,,,"2MASS J19243810+4045009, KIC 5531576, KOI-837, WISE J192438.10+404500.8"
Kepler-240 c,Confirmed,,,,,,,0.196,0.079,0.079,7.953528,2.5e-05,2.5e-05,0.074,,,,,,,,,,2014,2021-02-05,,,,,,,2455007.66155,0.00184,0.00184,,,,,,,,,,0.36,0.21,0.21,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19243810+4045009 c, K00837.01, KIC 5531576 c, KOI-837 c, KOI-837.01, WISE J192438.10+404500.8  c",,Kepler-240,291.158774,40.750263,,,14.113,13.606,13.464,762.74,20.31,20.31,0.089,,,,,,0.74,0.3,0.3,,,,,4985.0,200.0,200.0,,,"2MASS J19243810+4045009, KIC 5531576, KOI-837, WISE J192438.10+404500.8"
Kepler-241 b,Confirmed,,,,,,,0.208,0.092,0.092,12.718092,3.5e-05,3.5e-05,0.094,,,,,,,,,,2014,2021-02-05,,,,,,,2455008.35418,0.00163,0.00163,,,,,,,,,,0.54,0.24,0.24,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19313914+4103393 b, K00842.01, KIC 5794379 b, KOI-842 b, KOI-842.01, WISE J193139.14+410339.5  b",,Kepler-241,292.913118,41.060921,,,13.608,13.064,12.881,609.86,40.44,40.44,-0.243,,,,,,0.67,0.29,0.29,,,,,4699.0,200.0,200.0,,,"2MASS J19313914+4103393, KIC 5794379, KOI-842, WISE J193139.14+410339.5"
Kepler-241 c,Confirmed,,,,,,,0.229,0.099,0.099,36.065978,0.000133,0.000133,0.189,,,,,,,,,,2014,2021-02-05,,,,,,,2455031.58185,0.00193,0.00193,,,,,,,,,,0.07,0.21,0.21,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19313914+4103393 c, K00842.02, KIC 5794379 c, KOI-842 c, KOI-842.02, WISE J193139.14+410339.5  c",,Kepler-241,292.913118,41.060921,,,13.608,13.064,12.881,609.86,40.44,40.44,-0.243,,,,,,0.67,0.29,0.29,,,,,4699.0,200.0,200.0,,,"2MASS J19313914+4103393, KIC 5794379, KOI-842, WISE J193139.14+410339.5"
Kepler-242 b,Confirmed,,,,,,,0.233,0.143,0.143,8.20395,2e-05,2e-05,0.075,,,,,,,,,,2014,2021-02-05,,,,,,,2455002.69117,0.00139,0.00139,,,,,,,,,,0.06,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19061576+4148302 b, K00853.01, KIC 6428700 b, KOI-853 b, KOI-853.01, WISE J190615.76+414830.2  b",,Kepler-242,286.565695,41.808403,,,13.821,13.316,13.238,610.6,11.44,11.44,0.103,,,,,,0.85,0.52,0.52,,,,,5020.0,200.0,200.0,,,"2MASS J19061576+4148302, KIC 6428700, KOI-853, WISE J190615.76+414830.2"
Kepler-242 c,Confirmed,,,,,,,0.178,0.11,0.11,14.496481,8.3e-05,8.3e-05,0.109,,,,,,,,,,2014,2021-02-05,,,,,,,2454976.41348,0.00346,0.00346,,,,,,,,,,0.37,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19061576+4148302 c, K00853.02, KIC 6428700 c, KOI-853 c, KOI-853.02, WISE J190615.76+414830.2  c",,Kepler-242,286.565695,41.808403,,,13.821,13.316,13.238,610.6,11.44,11.44,0.103,,,,,,0.85,0.52,0.52,,,,,5020.0,200.0,200.0,,,"2MASS J19061576+4148302, KIC 6428700, KOI-853, WISE J190615.76+414830.2"
Kepler-243 b,Confirmed,,,,,,,0.219,0.103,0.103,5.715442,1.1e-05,1.1e-05,0.062,,,,,,,,,,2014,2021-02-05,,,,,,,2455007.87832,0.00109,0.00109,,,,,,,,,,0.17,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19002651+4202022 b, K00857.01, KIC 6587280 b, KOI-857 b, KOI-857.01, WISE J190026.50+420202.2  b",,Kepler-243,285.11047,42.033958,,,13.622,13.191,13.064,707.94,9.98,9.98,0.241,,,0.89,,,0.84,0.4,0.4,,,,,5228.0,200.0,200.0,,,"2MASS J19002651+4202022, KIC 6587280, KOI-857, WISE J190026.50+420202.2"
Kepler-243 c,Confirmed,,,,,,,0.178,0.087,0.087,20.026218,0.000163,0.000163,0.142,,,,,,,,,,2014,2021-02-05,,,,,,,2454979.90767,0.00404,0.00404,,,,,,,,,,0.77,0.09,0.09,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19002651+4202022 c, K00857.02, KIC 6587280 c, KOI-857 c, KOI-857.02, WISE J190026.50+420202.2  c",,Kepler-243,285.11047,42.033958,,,13.622,13.191,13.064,707.94,9.98,9.98,0.241,,,0.89,,,0.84,0.4,0.4,,,,,5228.0,200.0,200.0,,,"2MASS J19002651+4202022, KIC 6587280, KOI-857, WISE J190026.50+420202.2"
